Clinic Name,Address,City,State,2010 Cycles (<35),Implantation Rate,Avg Num Embs Trx,Pregs per Cycle,Births per Cycle,Births per Retrieval,Births per Transfer,eSET Rate,Twin Rate,Triplet+ Rate
Comprehensive Health for All Fertility Medical Group Inc,5455 Wilshire Boulevard,Los Angeles,CA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UCLA Fertility Center,200 Medical Plaza,Los Angeles,CA,27,41.3,2.0,51.9,44.4,44.4,52.2,26.1,33.33333333,0.0
USC Fertility,1127 Wilshire Blvd,Los Angeles,CA,32,33.3,2.0,53.1,46.9,48.4,50.0,3.3,20.0,0.0
Fertility and Gynecology Center,9833 Blue Larkspur Lane,Monterey,CA,19,34.3,2.1,52.63157895,31.57894737,31.57894737,35.29411765,0.0,16.66666667,0.0
Newport Fertility Center,20072 SW Birch Street,Newport Beach,CA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reproductive Specialty Medical Center,1441 Avocado Avenue,Newport Beach,CA,17,26.7,2.3,23.52941176,5.882352941,6.25,7.692307692,7.692307692,100.0,0.0
Southern California Center for Reproductive Medicine,361 Hospital Road,Newport Beach,CA,99,39.9,2.1,56.6,50.5,51.0,53.8,9.7,34.0,0.0
NOVA In Vitro Fertilization,1681 El Camino Real,Palo Alto,CA,62,34.1,2.2,56.5,50.0,50.8,50.8,4.9,32.3,0.0
HRC Fertility - Pasadena,333 S. Arroyo Pkwy,Pasadena,CA,105,38.0,2.6,58.1,50.5,58.9,58.9,2.2,35.8,1.9
Palo Alto Medical Foundation,3220 Alpine Road,Portola Valley,CA,52,20.3,1.8,25.0,21.2,23.9,27.5,27.5,27.27272727,0.0
Reproductive Partners - Redondo Beach,510 North Prosect,RedondoBeach,CA,74,39.6,2.0,56.8,47.3,50.0,50.7,11.6,37.1,0.0
Northern California Fertility Medical Center,1130 Conroy Lane,Roseville,CA,149,33.1,2.1,50.3,40.9,43.0,44.2,5.1,37.7,1.6
Kaiser Permanente Center for Reproductive Health Sacramento,1650 Response Road,Sacramento,CA,79,46.6,2.0,64.6,53.2,55.3,56.8,12.2,42.9,0.0
Fertility Specialists Medical Group,8010 Frost Street,San Diego,CA,48,43.3,1.6,47.9,43.8,48.8,50.0,35.7,28.6,0.0
San Diego Fertility Center,11515 El Camino Real,San Diego,CA,75,28.2,2.2,45.3,40.0,41.1,42.9,5.7,20.0,0.0
Laurel Fertility Care,1700 California Street,San Francisco,CA,59,19.2,2.2,30.5,20.3,21.1,22.2,1.9,16.66666667,0.0
Pacific Fertility Center,55 Francisco Street,San Francisco,CA,143,32.5,1.7,37.1,35.0,36.8,41.3,37.2,26.0,0.0
UCSF Center for Reproductive Health,2356 Sutter Street,San Francisco,CA,142,40.1,1.7,45.8,36.6,40.6,45.6,28.1,19.2,0.0
Fertility Physicians of Northern California,2581 Samaritan Drive,San Jose,CA,135,31.1,1.9,47.4,39.3,41.7,42.1,11.9,22.6,0.0
"Alex Steinleitner, M.D., Inc",21 Santa Rosa Street,San Luis Obispo,CA,25,50.0,1.9,60.0,60.0,65.2,65.2,4.3,40.0,0.0
Reproductive Science Center of the San Francisco Bay Area,3160 Crow Canyon Rd,San Ramon,CA,223,36.5,1.9,45.7,38.1,40.9,43.6,21.0,28.2,1.2
"Parker, Rosenman, Rodi Gyn Inf Med Grp",1450 Tenth Street,Santa Monica,CA,11,38.46153846,1.4,36.36363636,27.27272727,27.27272727,33.33333333,33.33333333,33.33333333,0.0
Advanced Fertility Associates Medical Group Inc,1111 Sonoma Avenue,Santa Rosa,CA,38,29.6,2.2,50.0,36.8,37.8,38.9,0.0,21.42857143,0.0
The Valley Center for Reproductive Health,13320 Riverside Drive,Sherman Oaks,CA,9,57.14285714,1.8,55.55555556,55.55555556,62.5,62.5,12.5,40.0,0.0
Stanford University IVF/ART Program,900 Welch Road,Stanford,CA,135,26.2,1.9,34.1,31.1,32.3,34.1,15.4,33.3,0.0
Center for Fertility and Gynecology,18370 Burbank Boulevard,Tarzana,CA,40,40.0,1.9,52.5,47.5,48.7,48.7,17.9,47.36842105,0.0
Tree of Life Center,18370 Burbank Boulevard,Tarzana,CA,7,50.0,1.7,57.14285714,57.14285714,57.14285714,66.66666667,33.33333333,25.0,0.0
Fertility & Surgical Associates of California,325 Rolling Oaks Drive,Thousand Oaks,CA,108,28.8,2.1,44.4,39.8,40.2,40.2,12.1,32.6,0.0
Pacific Reproductive Center,3720 Lomita Boulevard,Torrance,CA,164,43.4,2.0,62.8,53.7,54.0,54.7,3.7,37.5,0.0
Reproductive Partners - Westminster,13950 Milton Ave,Westminster,CA,41,50.0,1.8,61.0,53.7,59.5,59.5,16.2,36.4,4.5
University of Colorado Health Sciences Center,1635 North Ursula Street,Aurora,CO,34,30.3,2.1,50.0,44.1,46.9,46.9,3.1,20.0,0.0
The Fertility Center of Colorado,6160 Tuft Boulevard,Colorado Springs,CO,13,40.0,1.8,46.15384615,46.15384615,50.0,54.54545455,9.090909091,33.33333333,0.0
Colorado Reproductive Endocrinology,4600 E Hale Parkway,Denver,CO,37,21.6,2.0,24.3,24.3,30.0,34.6,3.8,22.22222222,0.0
Rocky Mountain Center for Reproductive Medicine,1080 East Elizabeth,Fort Collins,CO,30,47.4,2.0,66.7,43.3,44.8,46.4,0.0,53.84615385,0.0
Conceptions Reproductive Associates,271 West County Line Road,Littleton,CO,119,54.9,1.9,63.9,54.6,55.6,63.7,8.8,46.2,1.5
Colorado Center for Reproductive Medicine,10290 Ridge Gate Circle,Lone Tree,CO,171,55.3,2.0,74.9,68.4,69.2,69.2,5.9,42.7,1.7
"Rocky Mountain Fertility Center, P.C.",9235 Crown Crest Blvd.,Parker,CO,38,35.5,2.4,50.0,44.7,51.5,53.1,0.0,47.05882353,0.0
Connecticut Fertility Associates,4920 Main Street,Bridgeport,CT,44,19.4,2.6,38.6,34.1,37.5,37.5,7.5,33.33333333,0.0
The Center for Advanced Reproductive Services,263 Farmington Avenue,Farmington,CT,405,42.8,1.8,51.4,45.9,50.0,53.1,14.0,28.5,1.1
"Greenwich Fertility and IVF Center, P.C.",55 Holly Lane,Greenwich,CT,41,50.0,1.9,73.2,68.3,68.3,70.0,10.0,28.6,0.0
Yale University IVF Program,150 Sargent Drive,New Haven,CT,173,36.9,2.3,49.1,43.9,46.6,49.7,3.9,42.1,3.9
Reproductive Medicine Associates of Connecticut,10 Glover Avenue,Norwalk,CT,197,46.6,1.9,58.9,53.3,57.4,58.0,9.4,31.4,0.0
New England Fertility Institute,1275 Summer Street,Stamford,CT,60,31.2,2.2,51.7,40.0,40.7,42.9,7.1,20.8,8.3
The Stamford Hospital,Shelburne & West Broad Streets,Stamford,CT,11,7.692307692,2.2,18.18181818,9.090909091,12.5,16.66666667,0.0,0.0,0.0
"ART Institute of Washington, Inc.",6900 Georgia Avenue,Washington,DC,161,41.8,1.7,50.9,42.2,45.6,47.2,20.1,26.5,0.0
Columbia Fertility Associates,2440 M Street NW,Washington,DC,114,46.9,2.2,57.9,48.2,52.9,57.3,6.2,38.2,5.5
George Washington University,2150 Pennsylvania Avenue NW,Washington,DC,59,32.9,1.7,33.9,27.1,29.1,32.7,26.5,50.0,0.0
"James A. Simon, M.D., PC",1850 M Street Northwest,Washington,DC,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reproductive Associates of Delaware,4735 Ogletown-Stanton Road,Newark,DE,135,60.2,1.1,48.9,45.2,52.6,56.5,76.9,6.6,0.0
Boca Fertility,875 Meadows Road,Boca Raton,FL,31,39.6,2.1,45.2,38.7,46.2,48.0,0.0,41.66666667,0.0
Palm Beach Fertility Center,9291 Glades Road,Boca Raton,FL,29,47.2,1.9,41.4,41.4,48.0,63.15789474,5.263157895,41.66666667,0.0
"Reproductive Health Associates, P.A.",2695 Ulmerton Road,Clearwater,FL,22,11.1,2.1,13.6,9.1,11.76470588,11.76470588,0.0,50.0,0.0
University of Florida Women's Health at Magnolia Parke,3951 NW 48th Terrace,Gainesville,FL,39,26.7,2.1,35.9,33.3,34.2,37.1,0.0,38.46153846,0.0
Assisted Fertility Program of North Florida,3627 University Boulevard South,Jacksonville,FL,36,21.0,2.4,30.6,27.8,28.6,29.4,2.9,10.0,20.0
Florida Institute for Reproductive Medicine,836 Prudential Drive,Jacksonville,FL,217,38.7,2.1,52.1,45.6,49.3,51.6,4.2,37.4,2.0
Jacksonville Center for Reproductive Medicine,7051 Southpoint Parkway,Jacksonville,FL,114,27.6,2.1,37.7,28.9,31.1,32.7,5.0,30.3,3.0
IVF Florida,2960 North SR7,Margate,FL,234,38.9,1.8,44.9,36.3,40.3,43.1,21.8,35.3,1.2
Viera Fertility Center/Fertility and Reproductive Medicine Center for Women,3160 Alzante Circle,Melbourne,FL,21,19.5,2.0,33.3,23.8,23.8,23.8,0.0,40.0,0.0
Fertility & IVF Center of Miami,8950 N. Kendall Drive,Miami,FL,118,23.3,2.2,34.7,28.0,28.9,31.4,1.9,27.3,3.0
Palmetto Fertility Center of South Florida,7100 West 20th Avenue,Miami,FL,55,37.9,2.2,49.1,43.6,43.6,46.2,1.9,41.7,8.3
S. Florida Institute for Reproductive Medicine,7300 SW 62nd Pl,Miami,FL,171,46.9,1.8,51.5,49.1,53.5,57.1,8.2,39.3,2.4
University of Miami Infertility Center,1400 NW 12th Avenue,Miami,FL,37,23.7,2.2,29.7,29.7,31.4,32.4,0.0,54.54545455,0.0
Center for Reproductive Medicine PA,3435 Pinehurst Avenue,Orlando,FL,186,41.6,1.8,52.2,46.2,50.6,53.1,19.1,25.6,1.2
"New Leaders in Fertility & Endocrinology, LLC",4400 Bayou Boulevard,Pensacola,FL,78,39.4,1.9,48.7,42.3,44.6,56.9,3.4,18.2,3.0
Center for Advanced Reproductive Endocrinology,201 North Pine Island Road,Plantation,FL,34,41.2,2.2,58.8,47.1,48.5,51.6,0.0,37.5,6.25
The Reproductive Medicine Group,5245 East Fletcher Avenue,Tampa,FL,208,40.4,1.9,48.1,45.7,49.2,51.9,6.0,33.7,0.0
University of South Florida IVF,2A Columbia Drive,Tampa,FL,55,19.4,2.2,32.7,25.5,26.9,28.6,8.2,28.57142857,0.0
Florida Institute for Reproductive Sciences and Technologies (FIRST),2300 North Commerce Parkway,Weston,FL,9,33.33333333,2.1,33.33333333,22.22222222,22.22222222,28.57142857,0.0,0.0,50.0
Fertility Center of Assisted Reproduction and Endocrinology,5931 Brick Court,Winter Park,FL,67,28.6,1.9,34.3,32.8,34.9,36.7,10.0,27.3,0.0
Atlanta Center for Reproductive Medicine,5909 Peachtree Dunwoody Road,Atlanta,GA,245,32.3,2.1,38.4,35.9,38.9,42.9,4.9,39.8,0.0
Georgia Reproductive Specialists,5445 Meridian Mark Road,Atlanta,GA,113,43.9,2.2,58.4,50.4,53.3,54.3,3.8,54.4,0.0
Reproductive Biology Associates,1150 Lake Hearn Drive,Atlanta,GA,227,35.7,1.7,45.8,39.6,42.1,44.1,35.3,23.3,0.0
MCG Reproductive Medicine and Infertility Associates,810 Chafee Street,Augusta,GA,12,47.6,1.9,66.66666667,58.33333333,63.63636364,63.63636364,27.27272727,0.0,0.0
Servy Institute for Reproductive Endocrinology,812 Chafee Avenue,Augusta,GA,14,38.5,2.0,57.14285714,42.85714286,42.85714286,46.15384615,0.0,16.66666667,0.0
Central Georgia Fertility Institute,4035 Elnora Drive,Macon,GA,11,10.0,2.0,18.18181818,18.18181818,20.0,20.0,0.0,0.0,0.0
Georgia Center for Reproductive Medicine,5354 Reynolds Street,Savannah,GA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advanced Reproductive Center of Hawaii,1319 Punahou Street,Honolulu,HI,31,35.6,2.0,58.1,45.2,48.3,48.3,3.4,21.42857143,0.0
Pacific IVF Institute,1319 Punahou Street,Honolulu,HI,79,29.9,2.4,35.4,26.6,30.4,34.4,3.3,47.6,4.8
Tripler Army Medical Center,1 Jarrett White Road,Honolulu,HI,7,21.42857143,2.0,28.57142857,28.57142857,28.57142857,28.57142857,0.0,50.0,0.0
"Mid-Iowa Fertility, P.C.",1371 NW 121st Street,Clive,IA,217,50.7,1.9,54.8,50.7,56.1,62.9,3.4,38.2,0.0
Center for Advanced Reproductive Care,200 Hawkins Drive,Iowa City,IA,205,47.1,1.5,52.2,47.3,51.6,55.4,49.1,15.5,0.0
Idaho Center for Reproductive Medicine,111 Main Street,Boise,ID,106,24.8,2.3,35.8,34.9,35.6,37.8,0.0,32.4,8.1
Center for Reproductive Medicine & Fertility,South Maryland Avenue,Chicago,IL,95,26.5,2.1,28.4,25.3,30.8,37.5,0.0,41.7,0.0
Fertility Centers of Illinois - River North IVF,900 North Kingsbury,Chicago,IL,569,37.1,1.8,43.2,37.4,41.6,45.7,26.6,23.9,1.4
Northwestern University,675 N. St. Clair,Chicago,IL,162,28.4,2.0,40.1,32.7,35.3,36.3,3.4,24.5,0.0
The Rinehart-Coulam Center,233 East Erie Street,Chicago,IL,14,16.1,2.2,28.57142857,28.57142857,28.57142857,28.57142857,0.0,25.0,0.0
University of Illinois at Chicago (UIC),1801 West Taylor Street,Chicago,IL,28,32.3,1.6,42.9,25.0,26.9,36.84210526,36.84210526,28.57142857,0.0
Midwest Fertility Center,4333 Main Street,Downers Grove,IL,58,36.9,2.3,53.4,46.6,48.2,50.9,0.0,37.0,3.7
The Rinehart Center for Reproductive Medicine,2500 Ridge Avenue,Evanston,IL,125,33.1,2.1,33.6,28.8,32.7,40.9,0.0,33.3,2.8
Advanced Fertility Center of Chicago,30 Tower Court,Gurnee,IL,212,49.4,2.0,61.8,57.5,60.1,61.6,4.0,38.5,2.5
Highland Park IVF Center,767 Park Avenue West,Highland Park,IL,473,36.7,2.0,43.3,38.3,42.0,47.9,11.1,37.0,0.6
HinsdaleCenterforReproduction,121 North Elm Street,Hinsdale,IL,24,37.1,2.2,37.5,37.5,37.5,56.25,0.0,22.22222222,11.11111111
"Karande and Associates, SC",1585 North Barrington Rd,Hoffman Estates,IL,181,38.4,1.9,49.7,48.1,49.4,52.1,5.4,28.7,3.4
Reena Jabamoni MD SC,1585 N Barrington Road,Hoffman Estates,IL,22,50.0,1.9,40.9,27.3,31.57894737,40.0,13.33333333,50.0,0.0
Reproductive Health Specialists,744 Essington Road,Joliet,IL,24,28.3,2.3,50.0,41.7,41.7,43.5,0.0,20.0,0.0
IVF1,636 Raymond Drive,Naperville,IL,147,28.5,2.0,37.4,32.0,36.2,37.3,0.0,34.0,2.1
The Fertility Institute at Edward,120 Osler Drive,Naperville,IL,119,38.9,2.4,48.7,42.9,45.9,59.3,0.0,33.3,0.0
Oak Brook Fertility Center,2425 West 22nd St,Oak Brook,IL,60,40.4,1.8,58.3,45.0,45.8,46.6,13.8,33.3,3.7
Reproductive Health and Fertility Center,973 Featherstone Road,Rockford,IL,85,18.8,2.4,24.7,23.5,23.5,26.7,6.7,35.0,5.0
North Shore Fertility,4250 Dempster,Skokie,IL,110,14.1,2.7,30.0,18.2,20.8,24.7,0.0,25.0,10.0
Reproductive Endocrinology Associates,340 W. Miller St.,Springfield,IL,48,17.4,2.9,25.0,25.0,31.6,32.4,0.0,16.66666667,8.333333333
"Seth Levrant, M.D., PC",16345 S. Harlem Avenue,Tinley Park,IL,53,36.5,2.0,49.1,43.4,46.9,46.9,6.1,21.7,4.3
Jarrett Fertility Group LLC,11725 Illinois St,Carmel,IN,200,49.5,2.0,56.0,51.0,60.0,63.4,5.0,39.2,2.0
Midwest Fertility Specialists,12188-A North Meridian,Carmel,IN,232,32.1,2.0,39.2,36.6,41.5,43.8,2.1,31.8,4.7
Advanced Fertility Group,1222 Professional Boulevard,Evansville,IN,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advanced Fertility Group,201 North Pennsylvania Parkway,Indianapolis,IN,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Community Reproductive Endocrinology,7250 Clearvista Drive,Indianapolis,IN,20,58.3,1.9,75.0,70.0,73.68421053,73.68421053,5.263157895,42.85714286,0.0
"Family Beginnings, PC",8435 Clearvista Place,Indianapolis,IN,65,21.6,2.4,27.7,21.5,28.0,29.8,0.0,21.42857143,14.28571429
Indiana University IVF Program,550 N. University Blvd.,Indianapolis,IN,9,45.45454545,1.8,33.33333333,33.33333333,37.5,50.0,16.66666667,66.66666667,0.0
Reproductive Care of Indiana,201 Pennsylvania Parkway,Indianapolis,IN,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Women's Specialty Health Centers,9660 East 146th Street,Noblesville,IN,12,50.0,2.0,66.66666667,58.33333333,58.33333333,70.0,0.0,28.57142857,0.0
Center for Advanced Reproductive Medicine,10777 Nall Ave.,Kansas City,KS,30,23.9,2.2,30.0,30.0,36.0,42.9,4.8,22.22222222,0.0
"Midwest Reproductive Center, PA",20375 West 151st Street,Olathe,KS,69,38.9,2.1,47.8,44.9,48.4,49.2,0.0,45.2,3.2
Reproductive Resource Center of Greater Kansas City,12200 W 106 St,Overland Park,KS,170,38.3,1.8,45.3,40.0,44.7,47.2,6.9,32.4,2.9
Reproductive Medicine and Infertility,8800 West 75th Street,Shawnee Mission,KS,58,31.9,2.0,37.9,31.0,34.6,39.1,0.0,50.0,0.0
Center for Reproductive Medicine,9300 East 29th Street North,Wichita,KS,60,29.3,1.7,46.7,36.7,37.9,37.9,25.9,18.2,0.0
University Ob/Gyn Associates,315 East Broadway,Louisville,KY,88,40.4,2.2,55.7,52.3,56.8,60.5,7.9,37.0,2.2
A Woman's Center for Reproductive Medicine,9000 Airline Highway,Baton Rouge,LA,44,36.5,2.0,40.9,40.9,46.2,48.6,0.0,33.33333333,5.555555556
Fertility and Women's Health Center of Louisiana,4630 Ambassador Caffery Parkway,Lafayette,LA,65,35.4,2.1,50.8,43.1,45.9,45.9,1.6,39.3,0.0
The Fertility Institute of New Orleans,800 North Causeway Boulevard,Mandeville,LA,164,47.7,2.1,56.7,48.8,55.2,56.7,1.4,48.8,2.5
Center for Fertility & Reproductive Health,2401 Greenwood Road,Shreveport,LA,66,35.8,2.4,50.0,48.5,56.1,57.1,5.4,34.4,6.2
Brigham & Women's ART Center,75 Francis St,Boston,MA,439,34.0,1.8,44.4,38.3,39.3,41.9,14.0,27.4,1.8
Vincent IVF Unit,55 Fruit Street,Boston,MA,273,41.7,1.9,53.1,43.6,46.3,49.2,7.4,30.3,1.7
Reproductive Science Center,1 Forbes Road,Lexington,MA,942,39.9,1.6,45.8,40.7,42.4,47.3,24.5,20.1,1.0
Fertility Centers of New England,20 Pond Meadow Dr.,Reading,MA,330,36.7,1.7,48.2,40.0,41.5,46.0,10.5,25.8,0.8
Baystate Reproductive Medicine,759 Chestnut Street,Springfield,MA,178,49.1,1.5,52.2,44.4,48.2,51.0,40.6,24.1,0.0
Cardone Reproductive Medicine & Infertility LLC,2 Main Street,Stoneham,MA,44,23.9,1.9,31.8,27.3,27.3,32.4,8.1,25.0,0.0
Boston IVF,130 Second Avenue,Waltham,MA,904,27.8,1.9,37.3,32.3,33.3,35.6,9.5,26.7,1.0
Shady Grove Fertility Center at GBMC,6569 N. Charles Street,Baltimore,MD,233,44.1,1.8,57.9,51.5,53.3,54.8,20.5,25.0,0.8
The Center for Assisted Reproductive Technology at Union Memorial Hospital,201 E. University Parkway,Baltimore,MD,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Endrika Hinton, M.D.",10751 Falls Road,Lutherville,MD,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Johns Hopkins Medical Institute,10753 Falls Road,Lutherville,MD,46,33.3,2.1,43.5,32.6,39.5,40.5,2.7,33.33333333,6.666666667
Shady Grove Fertility Center,15001 Shady Grove Road,Rockville,MD,1442,44.2,1.6,53.9,47.0,49.9,52.3,29.5,23.3,1.2
Fertility Center of Maryland,110 West Road,Towson,MD,96,35.8,2.0,46.9,39.6,41.8,42.2,2.2,39.5,0.0
University of Michigan Medical Center,500 E Medical Center Drive,Ann Arbor,MI,41,37.7,2.0,39.0,31.7,39.4,41.9,0.0,46.15384615,0.0
Center for Reproductive Medicine and Surgery,300 Park Street,Birmingham,MI,45,24.7,1.7,37.8,26.7,26.7,28.6,11.9,16.66666667,8.333333333
Michigan Comprehensive Fertility Center,18181 Oakwood Boulevard,Dearborn,MI,56,18.6,2.3,26.8,21.4,27.3,28.6,0.0,33.33333333,0.0
"Grand Rapids Fertility & IVF, P.C.",555 Midtowne NE,Grand Rapids,MI,33,29.1,2.4,30.3,27.3,31.0,39.1,0.0,66.66666667,0.0
The Fertility Center,3230 Eagle Park Drive NE,Grand Rapids,MI,306,32.1,2.1,42.8,36.9,41.9,43.8,0.8,32.7,0.0
IVF Michigan,3950 South Rochester Road,Rochester Hills,MI,345,36.4,2.1,52.5,42.3,44.6,47.6,4.2,35.6,4.1
University Women's Care IVF - Infertility,26400 West Twelve Mile Road,Southfield,MI,21,33.3,2.4,57.1,42.9,42.9,42.9,0.0,44.44444444,11.11111111
"Brenda L. Moskovitz, M.D., PC",415 East Maple Road,Troy,MI,3,40.0,1.7,33.33333333,33.33333333,33.33333333,33.33333333,0.0,100.0,0.0
Henry Ford Medical Center,1500 W Big Beaver,Troy,MI,19,12.9,2.4,21.05263158,21.05263158,25.0,30.76923077,0.0,0.0,0.0
Reproductive Medicine Associates of Michigan,130 Town Center Drive,Troy,MI,119,34.5,2.3,54.6,45.4,47.0,49.1,3.6,42.6,1.9
Michigan Center for Fertility and Women's Health PLC,4700 13 Mile Road,Warren,MI,37,37.5,2.1,51.4,43.2,43.2,47.1,2.9,31.25,0.0
Midwest Center for Reproductive Health,12000 Elm Creek Boulevard North,Maple Grove,MN,88,51.0,1.9,59.1,54.5,58.5,61.5,6.4,41.7,0.0
Center for Reproductive Medicine,2800 Chicago Avenue South,Minneapolis,MN,324,53.0,1.8,63.9,56.2,59.9,63.0,6.6,34.6,0.5
University of Minnesota Physicians,606 24th Ave S,Minneapolis,MN,171,41.3,1.9,55.6,49.1,51.5,53.8,4.5,28.6,0.0
Mayo Clinic - Assissted Reproductive Technologies,200 First Street,Rochester,MN,92,28.1,2.0,38.0,35.9,39.3,40.7,3.7,30.3,0.0
Reproductive Medicine & Infertility Associates,2101 Woodwinds Drive,Woodbury,MN,189,38.1,1.8,50.8,43.9,44.6,46.1,18.9,33.7,1.2
Center for Reproductive Medicine and Fertility,500 Keene Street,Columbia,MO,15,14.28571429,1.6,6.666666667,6.666666667,7.142857143,11.11111111,0.0,100.0,0.0
